TransactionID,UserID,Date,TransactionType,Category,Merchant,Amount,CardType,IsFraud
1,U1102,2024-11-12 13:00:00,ONLINE,Bills,PetrolPump,12193.87,Debit,1
2,U1435,2022-01-15 22:00:00,UPI,Shopping,PetrolPump,10022.25,Credit,0
3,U1348,2022-02-05 09:00:00,UPI,Fuel,Myntra,2067.44,Credit,1
4,U1270,2022-11-09 10:00:00,POS,EMI,PetrolPump,13603.55,Debit,0
5,U1106,2022-07-08 10:00:00,CARD,Bills,PetrolPump,10786.34,Credit,0
6,U1071,2024-02-28 16:00:00,ONLINE,Fuel,Uber,581.91,Credit,0
7,U1188,2023-06-17 05:00:00,UPI,Bills,PetrolPump,8721.66,Credit,0
8,U1020,2024-01-29 23:00:00,UPI,Groceries,BigBazaar,7227.89,Debit,0
9,U1102,2024-01-15 00:00:00,CARD,Entertainment,Ola,12894.35,Debit,0
10,U1121,2023-02-06 04:00:00,UPI,Entertainment,PetrolPump,1885.63,Credit,0
11,U1466,2022-01-14 17:00:00,POS,Food,Swiggy,8883.12,Debit,0
12,U1214,2022-09-01 19:00:00,CARD,Shopping,BookMyShow,4688.69,Credit,0
13,U1330,2022-10-21 00:00:00,POS,Entertainment,PetrolPump,3722.0,Credit,0
14,U1458,2023-10-01 14:00:00,ATM,EMI,Ola,386.9,Debit,0
15,U1087,2022-08-08 10:00:00,ONLINE,Fuel,IRCTC,5016.81,Credit,0
16,U1372,2022-07-01 10:00:00,UPI,Shopping,Zomato,5971.63,Debit,1
17,U1099,2024-08-08 19:00:00,CARD,Fuel,Amazon,6744.41,Credit,0
18,U1359,2024-10-12 02:00:00,POS,Withdrawal,PetrolPump,11034.09,Credit,0
19,U1151,2024-05-09 06:00:00,ONLINE,Entertainment,IRCTC,6082.96,Debit,0
20,U1130,2024-07-26 08:00:00,ONLINE,Fuel,BigBazaar,2968.84,Credit,0
21,U1149,2023-09-21 10:00:00,UPI,Entertainment,Flipkart,6002.29,Credit,1
22,U1308,2022-07-16 18:00:00,ONLINE,Withdrawal,Swiggy,1090.0,Credit,0
23,U1257,2024-01-11 12:00:00,UPI,Groceries,BigBazaar,14582.51,Debit,0
24,U1343,2024-05-07 01:00:00,ATM,Bills,Ola,1040.19,Credit,0
25,U1491,2023-01-07 07:00:00,UPI,Fuel,IRCTC,3068.27,Debit,0
26,U1413,2022-05-15 19:00:00,POS,Travel,BigBazaar,6449.07,Credit,0
27,U1293,2022-07-10 16:00:00,ONLINE,Fuel,Uber,14004.42,Debit,1
28,U1385,2022-02-15 20:00:00,ONLINE,EMI,Amazon,2722.12,Credit,0
29,U1191,2023-01-05 08:00:00,ONLINE,Entertainment,Swiggy,6026.69,Credit,0
30,U1443,2022-12-29 20:00:00,UPI,Travel,Ola,14840.29,Credit,1
31,U1276,2024-02-28 04:00:00,CARD,Fuel,BigBazaar,9050.61,Debit,0
32,U1160,2024-10-03 10:00:00,UPI,Groceries,Amazon,9238.02,Credit,0
33,U1459,2024-04-15 14:00:00,POS,EMI,BookMyShow,14613.23,Credit,0
34,U1313,2023-12-17 05:00:00,UPI,Fuel,Zomato,7616.17,Debit,0
35,U1021,2023-08-25 15:00:00,ONLINE,Shopping,BookMyShow,88.28,Credit,0
36,U1252,2024-04-09 11:00:00,ATM,Entertainment,Zomato,513.15,Credit,0
37,U1235,2023-05-05 14:00:00,POS,Withdrawal,BigBazaar,10236.9,Debit,0
38,U1344,2024-07-27 03:00:00,ATM,Bills,PetrolPump,3212.09,Debit,0
39,U1048,2024-05-31 22:00:00,POS,Groceries,Uber,7203.29,Credit,0
40,U1474,2023-02-12 13:00:00,POS,EMI,Uber,8293.02,Credit,0
